method,entity_type,site,probe,layer,test_r2,test_spearman,train_r2,is_best
gpt_oss_120b,us_place,last,ridge,16,0.6215446702768546,0.7759878283994049,0.7339175340148292,False
gpt_oss_120b,us_place,last,ridge,17,0.6249456928122541,0.7780439083629794,0.7379179090230596,False
gpt_oss_120b,us_place,last,ridge,18,0.6132626393986403,0.7756153303775764,0.7329755534320284,False
gpt_oss_120b,us_place,last,ridge,19,0.6309319485806578,0.7852680921076802,0.746251166641581,False
gpt_oss_120b,us_place,last,ridge,20,0.6304563572412449,0.7844376163903233,0.7523069755761884,False
gpt_oss_120b,us_place,last,ridge,21,0.6428581568538771,0.7928696197865606,0.7592156220714366,False
gpt_oss_120b,us_place,last,ridge,22,0.6469458323919549,0.793814441995945,0.7607902275117164,False
gpt_oss_120b,us_place,last,ridge,23,0.6380110802978113,0.7891550008236442,0.7572844370140758,False
gpt_oss_120b,us_place,last,ridge,24,0.6347854359071371,0.7873403672236311,0.7553010498997412,False
gpt_oss_120b,us_place,last,ridge,25,0.6271209172865541,0.7837450460182327,0.7506530452022313,False
gpt_oss_120b,us_place,last,ridge,26,0.6123893439375665,0.7761359105215082,0.7419305261367359,False
gpt_oss_120b,us_place,last,ridge,27,0.6018758830411323,0.7729461023121299,0.7395166016332245,False
gpt_oss_120b,us_place,last,ridge,28,0.5952832306340802,0.7703782397216772,0.734680916094284,False
gpt_oss_120b,us_place,last,ridge,29,0.5879190932652338,0.7667383510560336,0.7317009685719857,False
gpt_oss_120b,us_place,last,ridge,30,0.5927148606972499,0.7695273807418332,0.7300717653456177,False
gpt_oss_120b,us_place,last,ridge,31,0.5918330310522557,0.7685578217460418,0.7279405291593057,False
gpt_oss_120b,us_place,last,ridge,32,0.5813538924926389,0.7634998514558506,0.7252113917870919,False
gpt_oss_120b,us_place,last,ridge,33,0.585119770910574,0.7656387527802859,0.7230280790108543,False
gpt_oss_120b,us_place,last,ridge,34,0.5855286167612148,0.7654455485888112,0.723000318794976,False
gpt_oss_120b,us_place,last,ridge,35,0.5824893410164371,0.7644180729663321,0.723748312742739,False
gpt_oss_120b,us_place,last,ridge,36,0.6098097029027818,0.7775931518176813,0.6878956292392875,False
gpt_oss_120b,historical_figure,last,ridge,1,0.4696098726334623,0.6894147070750019,0.5211052382302807,False
gpt_oss_120b,historical_figure,last,ridge,2,0.5417814700563496,0.7468718459307896,0.590845386149904,False
gpt_oss_120b,historical_figure,last,ridge,3,0.6272922575714317,0.7995793828534713,0.6719196036434348,False
gpt_oss_120b,historical_figure,last,ridge,4,0.6821715536592312,0.8308511206014226,0.711861789078855,False
gpt_oss_120b,historical_figure,last,ridge,5,0.7182779886676576,0.852183815589901,0.7493328907952459,False
gpt_oss_120b,historical_figure,last,ridge,6,0.7446504453678469,0.8649008976610089,0.7742171758049774,False
gpt_oss_120b,historical_figure,last,ridge,7,0.7565372367376606,0.8745834801413725,0.7935853192087738,False
gpt_oss_120b,historical_figure,last,ridge,8,0.7644764925630828,0.8802781974051309,0.8005642828561382,False
gpt_oss_120b,historical_figure,last,ridge,9,0.7720624215252324,0.885502119486949,0.8088861728360979,False
gpt_oss_120b,historical_figure,last,ridge,10,0.7850122618936578,0.8917433454117925,0.8229241352290253,False
gpt_oss_120b,historical_figure,last,ridge,11,0.7916709532662991,0.8961792159938633,0.8282961787417872,False
gpt_oss_120b,historical_figure,last,ridge,12,0.8025914999472157,0.9008955497871264,0.8390826904564702,True
gpt_oss_120b,historical_figure,last,ridge,13,0.8014589483539838,0.9015066195568403,0.8424001912709668,False
gpt_oss_120b,historical_figure,last,ridge,14,0.798816055722658,0.8995712027084349,0.8400618692083601,False
gpt_oss_120b,historical_figure,last,ridge,15,0.7966290321798798,0.8980721206530787,0.8374545510330174,False
gpt_oss_120b,historical_figure,last,ridge,16,0.7978142921553242,0.8965759909369453,0.8378926912376705,False
gpt_oss_120b,historical_figure,last,ridge,17,0.7989826324856215,0.8968704859831822,0.8371218311240101,False
gpt_oss_120b,historical_figure,last,ridge,18,0.7965424826426494,0.8952922914340622,0.837071244757432,False
gpt_oss_120b,historical_figure,last,ridge,19,0.7996060534295502,0.8974734496949878,0.8388547864117086,False
gpt_oss_120b,historical_figure,last,ridge,20,0.7993326763001039,0.8975260325285518,0.8391009535321738,False
gpt_oss_120b,historical_figure,last,ridge,21,0.7948393898408594,0.8959527666631358,0.8377114535268078,False
gpt_oss_120b,historical_figure,last,ridge,22,0.7932529008016102,0.8951405580041075,0.8370025299062498,False
gpt_oss_120b,historical_figure,last,ridge,23,0.785118696477441,0.8902187420640127,0.8355235310542342,False
gpt_oss_120b,historical_figure,last,ridge,24,0.7857493979519699,0.8877721605923279,0.8330114439121802,False
